study_hours,sleep_hours,attendance,stress_level,marks,CGPA
4.14,6.84,81.24,4.93,65.86,7.52
5.97,5.52,90.55,6.96,62.52,7.21
3.19,3.39,69.4,7.38,40.11,4.84
4.77,6.44,80.79,5.84,61.25,6.74
5.42,6.54,82.63,6.67,64.54,7.77
3.01,7.25,80.43,3.28,64.4,7.26
2.77,6.24,76.35,3.3,57.73,6.87
3.77,4.71,76.02,4.66,60.32,7.04
3.31,5.51,79.34,5.8,54.83,5.9
5.73,8.08,87.37,6.06,72.57,7.7
2.5,5.5,73.66,3.06,59.66,6.8
4.1,8.4,81.66,3.44,70.05,7.25
7.82,7.76,100,5.89,79.26,9.35
4.62,6.12,84.6,5.7,69.06,8.52
4.87,5.63,86.45,6.65,50.7,6.38
5.74,7.76,94.98,4.56,70.35,8.41
3.31,6.21,79.73,4.19,46.6,5.91
2.38,4.65,70.2,5.58,60.19,5.56
4.26,7.17,80.83,3.98,71.3,8.78
4.4,7,88.14,3.72,78.09,8.16
1.57,7.87,68.43,1,62.06,6.91
4.56,6.92,80.94,4.25,81.55,8.94
5.6,5.84,84.87,5.59,58.32,6.98
2.63,8.02,74.52,1.23,74,8.04
4.65,8.14,78.99,3.05,72.27,8.54
5.34,6.78,93.12,6.36,72.35,7.53
4.88,6.57,79.21,5.38,77.31,8.03
5.02,4.91,92.5,9.66,48.89,5.51
3.63,5.77,76.74,2.85,68.37,7.64
2.31,7.41,66.16,2.21,67.84,7.3
3.33,5.83,77.59,4.05,60.54,6.51
3.12,4.75,70.84,4.41,72.39,7.47
3.88,10,79.57,1,85.41,8.94
5.64,4.74,85.31,7.79,62.19,6.93
2.03,9.21,74.89,1,62.84,7.25
4.22,6.13,81.77,5.18,68.15,7.12
2.4,6.4,66.08,2.31,72.98,8.2
2.89,5.69,71.46,4.53,58.05,6.39
4.84,7.44,87.72,4.17,78.25,8.4
2.22,4.77,77.51,3.32,65.75,6.76
5.1,4.29,85.28,7.56,60.34,6.56
1.97,8.43,64.64,1,63.35,7.36
5,5.54,90.27,6.54,75.42,7.38
1.68,7.4,71.88,1.61,69.58,6.88
3.07,5.2,81.9,4.35,52.62,6.41
6.84,7.35,95.67,6.81,76.47,9
6.56,8.52,90.21,5.16,77.59,9.06
3.38,5.87,79.49,4.64,70.99,7.42
4.58,4.18,84.56,7.44,65.96,6.31
5.81,8.53,86.16,6.46,65.81,7.59
5.02,7.61,86.1,5.52,56.34,6.17
3.59,5.93,76.97,4.95,49.65,5.94
2.88,6.24,78.1,2.84,65.11,6.29
5.3,5.17,88.97,6.84,69.78,7.3
5.7,8.2,83.22,6.11,65.54,7.74
6.57,5.86,87.11,7.15,52.34,6.98
1.47,4.8,66.9,3.51,56.7,5.72
2.12,6.76,70.77,2.14,55.1,6.44
5.74,5.47,92.52,7.64,71.52,7.48
1.67,5.26,70.93,2.97,58.92,6.38
5.86,5.98,96.58,7.05,61.64,7.87
3.68,6.6,76.05,3.66,51.32,6.15
3.22,4.84,73.47,6.69,51.47,5.92
4.31,8.16,76.74,2.46,72.39,8.42
1.98,7.31,73.66,2.65,56.8,6.25
5.24,6.06,86.29,5.59,61.48,6.61
6.53,5.42,83.4,7.26,78.88,7.77
5.31,6.39,87.54,5.21,78.24,8.43
3.63,7.58,79.48,1.34,70.47,7
1.69,7.39,67.74,1.74,56.63,6.56
1.75,7.77,70.24,1,72.16,7.37
2.01,5.92,63.93,2.72,62.29,7.13
3.98,3,88.11,8.74,42.3,5.21
4.17,8,82.75,3.9,75.27,8.9
5.3,6.3,77.64,4.57,51.34,7.17
1.31,7.3,66.5,1.32,56.83,5.84
5.97,8.5,91.87,5.6,75.52,9.11
5.04,9.42,79.64,1.98,80.3,8.14
3.51,5.72,80.22,5.3,61.14,6.89
2.22,6.66,79.48,1.41,56.04,7.09
5.87,8.14,86.15,5.12,67.91,8.17
3.55,5.49,79.89,5.19,59.05,6.46
3.97,5.8,80.89,5.83,45.94,6.15
4.58,5.79,87.72,6.38,64.43,6.83
2.63,6.47,72.61,1.81,58.45,7.34
3.58,6.24,72.55,4.48,57.88,6.84
5.3,5.79,91.01,7.96,60.89,6.65
5.15,5.34,80.69,4.62,73.41,7.9
5.16,7.47,94.84,5.65,82.51,8.72
2.27,8.11,74.14,2.76,56.64,7.02
3.65,8.28,75.23,1,79.03,8.95
3.41,5.92,82.57,3.81,64.87,6.6
4.64,7.52,83.14,4.63,63.54,7.23
4.5,6.78,81.41,3.83,74.69,8.14
4.23,5.82,77.76,6.78,59.77,6.55
7.7,7.38,89.1,8.38,88.83,9.15
3.56,5.76,80.84,3.42,69.02,7.93
3.39,6.05,68.8,3.6,61.3,7.58
2.26,4.85,67.36,5.19,50.79,6.18
1.69,5.94,70.63,3.48,40.97,4.45
2.17,6.8,68.34,4.58,50.74,6.51
2.92,8.38,75.4,1,74.33,8.56
5.97,6.08,83.76,8.35,60.26,6.65
4.06,5.25,78.55,4.89,59.38,7.02
4.29,8.3,82.27,3.49,70.61,7.66
3.86,5.89,74.52,5.85,68.87,7.25
4.55,4.4,91.17,4.15,64.24,6.89
6.1,6.66,87.33,7.35,58.78,7.39
1.01,6.11,71.94,3.28,50.89,5.61
5.83,9.26,88.3,4.66,90.79,10
